day,dose_rate_mGy_day,ros_norm,mito_integrity,atp_proxy,fast_excitability_delta,slow_mito_atp_suppression,excitability_ratio,ltp_proxy,structural_neural_integrity_proxy,scenario,shield_mm_Al
6.0,325677.7777777778,10.652222471938337,0.0018296083472930285,0.00043269642458750284,0.043189129615136206,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
7.0,325677.7777777778,10.721771547272638,0.0,0.0,0.04320788914623905,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
8.0,325677.7777777778,10.755245626539207,0.0018296083472930285,0.00043269642458750284,0.04321683738747712,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
9.0,325677.7777777778,10.7713567535004,0.0,0.0,0.04322112567727159,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
10.0,325677.7777777778,10.779111064228193,0.0018296083472930285,0.00043269642458750284,0.04322318537068497,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
11.0,325677.7777777778,10.782843226168694,0.0,0.0,0.0432241757182215,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
12.0,325677.7777777778,10.784639521576382,0.0018296083472930285,0.00043269642458750284,0.04322465214586944,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
13.0,325677.7777777778,10.785504081379285,0.0,0.0,0.04322488139841675,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
14.0,325677.7777777778,10.785920195371226,0.0018296083472930285,0.00043269642458750284,0.04322499172579357,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
15.0,325677.7777777778,10.78612047168954,0.0,0.0,0.04322504482369966,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
16.0,325677.7777777778,10.786216864996312,0.0018296083472930285,0.00043269642458750284,0.043225070379148904,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
17.0,325677.7777777778,10.786263259246361,0.0,0.0,0.04322508267887474,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
18.0,325677.7777777778,10.786285588871825,0.0018296083472930285,0.00043269642458750284,0.04322508859871689,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
19.0,325677.7777777778,10.786296336155656,0.0,0.0,0.04322509144793806,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
20.0,325677.7777777778,10.786301508840255,0.0018296083472930285,0.00043269642458750284,0.043225092819270804,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
21.0,325677.7777777778,10.786303998461483,0.0,0.0,0.043225093479294964,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
22.0,325677.7777777778,10.786305196720093,0.0018296083472930285,0.00043269642458750284,0.043225093796965534,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
23.0,325677.7777777778,10.786305773443845,0.0,0.0,0.04322509394986085,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
24.0,325677.7777777778,10.786306051021892,0.0018296083472930285,0.00043269642458750284,0.0432250940234496,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
25.0,325677.7777777778,10.786306184620642,0.0,0.0,0.043225094058867986,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
26.0,325677.7777777778,10.786306248921932,0.0018296083472930285,0.00043269642458750284,0.043225094075914905,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
27.0,325677.7777777778,10.786306279870242,0.0,0.0,0.04322509408411962,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
28.0,325677.7777777778,10.786306294765714,0.0018296083472930285,0.00043269642458750284,0.04322509408806856,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
29.0,325677.7777777778,10.786306301934928,0.0,0.0,0.043225094089969184,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
30.0,325677.7777777778,10.786306305385482,0.0018296083472930285,0.00043269642458750284,0.043225094090883966,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
31.0,325677.7777777778,10.786306307046239,0.0,0.0,0.043225094091324245,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
32.0,325677.7777777778,10.786306307845564,0.0018296083472930285,0.00043269642458750284,0.04322509409153615,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
33.0,325677.7777777778,10.78630630823028,0.0,0.0,0.04322509409163815,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
34.0,325677.7777777778,10.786306308415444,0.0018296083472930285,0.00043269642458750284,0.04322509409168723,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
35.0,325677.7777777778,10.786306308504564,0.0,0.0,0.04322509409171087,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
36.0,325677.7777777778,10.786306308547458,0.0018296083472930285,0.00043269642458750284,0.04322509409172223,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
37.0,325677.7777777778,10.786306308568102,0.0,0.0,0.04322509409172771,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
38.0,325677.7777777778,10.786306308578038,0.0018296083472930285,0.00043269642458750284,0.043225094091730344,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
39.0,325677.7777777778,10.78630630858282,0.0,0.0,0.04322509409173161,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
40.0,325677.7777777778,10.786306308585122,0.0018296083472930285,0.00043269642458750284,0.043225094091732225,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
41.0,325677.7777777778,10.78630630858623,0.0,0.0,0.043225094091732516,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
42.0,325677.7777777778,10.786306308586763,0.0018296083472930285,0.00043269642458750284,0.043225094091732655,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
43.0,325677.7777777778,10.786306308587019,0.0,0.0,0.043225094091732724,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
44.0,325677.7777777778,10.786306308587143,0.0018296083472930285,0.00043269642458750284,0.04322509409173275,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
45.0,325677.7777777778,10.786306308587204,0.0,0.0,0.04322509409173277,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
46.0,325677.7777777778,10.786306308587232,0.0018296083472930285,0.00043269642458750284,0.04322509409173278,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
47.0,325677.7777777778,10.786306308587246,0.0,0.0,0.04322509409173278,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
48.0,325677.7777777778,10.786306308587253,0.0018296083472930285,0.00043269642458750284,0.04322509409173279,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
49.0,325677.7777777778,10.786306308587257,0.0,0.0,0.04322509409173279,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
50.0,325677.7777777778,10.786306308587257,0.0018296083472930285,0.00043269642458750284,0.04322509409173279,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
